class	condition	object	pos	value
A	B	13	0.0	1.28615725361
A	B	3	0.0	2.23784421508
A	B	6	0.0	2.53503718395
C	C	50	0.0	0.0
B	C	39	0.0	0.908009692807
B	C	20	0.0	0.0819558456968
C	C	56	0.0	2.14017757122
A	C	13	0.0	2.19907143046
A	C	3	0.0	0.714751938392
A	C	6	0.0	2.28615695783
C	A	54	11.1111111111	4.56553009629
B	A	17	11.1111111111	1.47350224019
C	A	46	11.1111111111	0.249359171238
C	A	59	11.1111111111	6.53327017289
B	A	19	11.1111111111	0.0
C	B	54	11.1111111111	3.29925008035
B	B	17	11.1111111111	3.60471517247
C	B	46	11.1111111111	2.61362476503
C	B	59	11.1111111111	5.59143066941
B	B	19	11.1111111111	0.0
C	C	54	11.1111111111	1.31927860664
B	C	17	11.1111111111	2.56470910899
C	C	46	11.1111111111	1.1634291721
C	C	59	11.1111111111	0.121990134461
B	C	19	11.1111111111	0.0
A	A	5	11.1111111111	1.35989613245
B	A	22	11.1111111111	1.49906722744
C	A	43	11.1111111111	1.05075312414
A	B	5	11.1111111111	0.861293993883
B	B	22	11.1111111111	3.78181867984
C	B	43	11.1111111111	5.50744318225
A	C	5	11.1111111111	0.642060128787
B	C	22	11.1111111111	2.4133438636
C	C	43	11.1111111111	1.83640287256
B	A	33	11.1111111111	0.681133479574
B	A	18	11.1111111111	0.50977791742
A	A	7	11.1111111111	0.0
A	A	12	11.1111111111	0.0
C	A	47	11.1111111111	6.01652259464
B	B	33	11.1111111111	1.87279606464
B	B	18	11.1111111111	0.0865663945821
A	B	7	11.1111111111	0.0
A	B	12	11.1111111111	0.0
C	B	47	11.1111111111	4.49718651934
B	C	33	11.1111111111	1.3748914693
B	C	18	11.1111111111	0.380351550314
A	C	7	11.1111111111	0.0
A	C	12	11.1111111111	0.0
C	C	47	11.1111111111	0.132450498507
A	A	2	11.1111111111	0.543909578156
A	A	9	11.1111111111	0.0
A	A	11	11.1111111111	0.0
B	A	34	11.1111111111	0.0
B	A	35	11.1111111111	0.179328870654
A	A	10	11.1111111111	0.0
B	A	30	11.1111111111	0.0
A	B	2	11.1111111111	0.932543501313
A	B	9	11.1111111111	0.0
A	B	11	11.1111111111	0.0
B	B	34	11.1111111111	0.0
B	B	35	11.1111111111	0.544357778495
A	B	10	11.1111111111	0.0
B	B	30	11.1111111111	0.0
A	C	2	11.1111111111	0.786434101846
A	C	9	11.1111111111	0.0
A	C	11	11.1111111111	0.0
B	C	34	11.1111111111	0.0
B	C	35	11.1111111111	0.413716468013
A	C	10	11.1111111111	0.0
B	C	30	11.1111111111	0.0
C	A	52	11.1111111111	6.5121048181
C	A	57	11.1111111111	5.89374763846
B	A	24	11.1111111111	0.0
C	A	44	11.1111111111	3.1372080689
B	A	15	11.1111111111	0.0
C	A	51	11.1111111111	6.53327017289
B	A	27	11.1111111111	1.01822395178
C	B	52	11.1111111111	5.75014637145
